"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","4002075000","Wholesale sales of farm machinery and equipment","444220","Nursery, garden center, and farm supply stores","All establishments","43","4,407","0.0","10% to less than 20%","8.6"
"United States","2017","4002425000","Wholesale sales of new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps and scales","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4002600000","Wholesale sales of commercial and service industry equipment","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","18","4,624 (s)","0.1","50% to less than 60%","42.4"
"United States","2017","4002775000","Wholesale sales of refined petroleum products, except liquefied petroleum (LP)","444210","Outdoor power equipment stores","All establishments","11","87","0.0","10% to less than 20%","38.7"
"United States","2017","4002775000","Wholesale sales of refined petroleum products, except liquefied petroleum (LP)","444220","Nursery, garden center, and farm supply stores","All establishments","21","76,470 (s)","0.0","70% to less than 80%","78.1"
"United States","2017","4002775000","Wholesale sales of refined petroleum products, except liquefied petroleum (LP)","447190","Other gasoline stations","All establishments","D","D","D","D","D"
"United States","2017","4002775000","Wholesale sales of refined petroleum products, except liquefied petroleum (LP)","454310","Fuel dealers","All establishments","115","249,425","0.0","30% to less than 40%","30.8"
"United States","2017","4003175000","Wholesale sales of notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4003375000","Wholesale sales of chemicals, except explosives and automotive, drillers, and sanitation chemicals","444220","Nursery, garden center, and farm supply stores","All establishments","81","2,655","0.0","20% to less than 30%","33.5"
"United States","2017","4003400000","Wholesale sales of liquefied petroleum (LP)","447190","Other gasoline stations","All establishments","D","D","D","D","D"
"United States","2017","4003400000","Wholesale sales of liquefied petroleum (LP)","454310","Fuel dealers","All establishments","D","D","D","D","D"
"United States","2017","4003425000","Wholesale sales of industrial gases, except oxygen, acetylene and other welding gases","446199","All other health and personal care stores","All establishments","S","A","D","S","S"
"United States","2017","4003450000","Wholesale sales of acetylene and other welding gases","444190","Other building material dealers","All establishments","13","3,962 (s)","0.4","70% to less than 80%","71.1"
"United States","2017","4003625000","Wholesale sales of precious metals","448310","Jewelry stores","All establishments","12","274 (s)","0.0","60% to less than 70%","80.9"
"United States","2017","4003675000","Wholesale sales of recyclable nonferrous metal scrap","448310","Jewelry stores","All establishments","37","2,686 (s)","0.0","10% to less than 20%","91.7"
"United States","2017","4004150000","Wholesale sales of tires and tubes","441120","Used car dealers","All establishments","D","D","D","D","D"
"United States","2017","4004150000","Wholesale sales of tires and tubes","441310","Automotive parts and accessories stores","All establishments","456","35,925","0.1","30% to less than 40%","28.3"
"United States","2017","4004150000","Wholesale sales of tires and tubes","441320","Tire dealers","All establishments","3,178","958,634","1.8","30% to less than 40%","9.0"
"United States","2017","4004150000","Wholesale sales of tires and tubes","447110","Gasoline stations with convenience stores","All establishments","9","1,173 (s)","0.0","20% to less than 30%","88.0"
"United States","2017","4004150000","Wholesale sales of tires and tubes","447190","Other gasoline stations","All establishments","D","D","D","D","D"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","441110","New car dealers","All establishments","59","121,739","0.1","10% to less than 20%","15.3"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","441120","Used car dealers","All establishments","10","5,631 (s)","0.0","Less than 10%","56.7"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","S","A","S","S","S"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","441310","Automotive parts and accessories stores","All establishments","3,239","1,386,705","0.6","20% to less than 30%","6.9"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","441320","Tire dealers","All establishments","517","50,960 (s)","0.0","60% to less than 70%","56.6"
"United States","2017","4004175000","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","454110","Electronic shopping and mail-order houses","All establishments","46","8,120 (s)","0.0","Less than 10%","47.7"
"United States","2017","4004200000","Wholesale sales of new light truck, van, and SUV bodies","441110","New car dealers","All establishments","S","A","D","S","S"
"United States","2017","4004225000","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","441110","New car dealers","All establishments","3","98 (s)","0.0","10% to less than 20%","40.3"
"United States","2017","4004225000","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","441310","Automotive parts and accessories stores","All establishments","2,299","226,529","1.3","40% to less than 50%","20.2"
"United States","2017","4004225000","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","441320","Tire dealers","All establishments","129","2,171","0.0","30% to less than 40%","30.2"
"United States","2017","4004225000","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","454110","Electronic shopping and mail-order houses","All establishments","16","492 (s)","0.0","Less than 10%","85.5"
"United States","2017","4004225000","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","454310","Fuel dealers","All establishments","D","D","D","D","D"
"United States","2017","4004250000","Wholesale sales of used automotive parts and accessories","441110","New car dealers","All establishments","20","5,479 (s)","0.1","20% to less than 30%","54.1"
